IP,Date,Time,Accepted-cookies,Device type,Browser anguage,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
47.15.84.200,2025-09-01,11:50:11 UTC,necessary,mobile,en,Chrome,Android,India,RJ,Rajasthan,Jaipur,302012,26.9136,75.7858
223.178.210.98,2025-09-01,21:26:03 UTC,necessary,desktop,en,Chrome,OS X,India,CH,Chandigarh,Chandigarh,160019,30.7339,76.7889
223.178.210.98,2025-09-01,21:26:43 UTC,necessary,desktop,en,Chrome,OS X,India,CH,Chandigarh,Chandigarh,160019,30.7339,76.7889
152.58.178.78,2025-09-01,23:01:17 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700028,22.5643,88.3693
49.47.11.175,2025-09-02,17:56:50 UTC,necessary,desktop,en,Chrome,Windows,India,CG,Chhattisgarh,Raipur,492013,21.2333,81.6333
223.29.193.224,2025-09-02,19:35:02 UTC,necessary,desktop,en,Chrome,OS X,India,WB,West Bengal,Kolkata,700026,22.5643,88.3693
76.91.108.225,2025-09-03,04:31:47 UTC,necessary,desktop,en,Chrome,Windows,United States,CA,California,Corona,92879,33.8789,-117.5353
223.29.193.224,2025-09-04,18:55:24 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700026,22.5643,88.3693
223.29.193.224,2025-09-04,20:09:52 UTC,necessary,desktop,en,Edge,Windows,India,WB,West Bengal,Kolkata,700026,22.5643,88.3693
43.231.240.187,2025-09-04,20:53:00 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700005,22.5643,88.3693
76.91.108.225,2025-09-05,00:35:49 UTC,necessary,desktop,en,Chrome,Windows,United States,CA,California,Corona,92879,33.8789,-117.5353
106.219.120.211,2025-09-05,21:05:46 UTC,necessary,desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,New Delhi,110002,28.6327,77.2198
49.37.34.162,2025-09-05,21:11:55 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
76.91.108.225,2025-09-05,23:31:40 UTC,necessary,desktop,en,Chrome,OS X,United States,CA,California,Corona,92879,33.8789,-117.5353
49.47.11.175,2025-09-06,08:14:02 UTC,necessary,desktop,en,Chrome,Windows,India,CG,Chhattisgarh,Raipur,492013,21.2333,81.6333
106.219.120.211,2025-09-06,21:10:03 UTC,necessary,desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,New Delhi,110002,28.6327,77.2198
114.31.188.174,2025-09-07,11:27:21 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Rajkot,360004,22.2904,70.7915
122.172.42.242,2025-09-09,10:32:44 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,382418,23.0276,72.5871
106.219.203.25,2025-09-10,04:17:34 UTC,necessary,mobile,en,Chrome,Android,India,RJ,Rajasthan,Jaipur,302003,26.9136,75.7858
103.220.208.181,2025-09-14,07:21:38 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700052,22.5643,88.3693
2401:4900:41e1:cebe:4db2:cbcb:6813:aa3e,2025-09-18,04:54:37 UTC,necessary,desktop,en,Chrome,Windows,India,RJ,Rajasthan,Alwar,301001,27.5634,76.626
2404:7c80:85:d709:dd88:92b:8c33:1356,2025-09-18,18:28:46 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
2404:7c80:85:d709:71fe:1884:568c:4e6d,2025-09-19,21:40:39 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
111.90.174.102,2025-09-22,21:51:32 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Rajkot,360003,22.2904,70.7915
